name;;value;;;
Togo;;$2,100;;;
Mali;;$2,100;;;
Kiribati;;$1,900;;;
Guinea-Bissau;;$1,800;;;
Korea, North;;$1,700;;;
South Sudan;;$1,600;;;
Eritrea;;$1,600;;;
Sierra Leone;;$1,600;;;
Afghanistan;;$1,500;;;
Malawi;;$1,500;;;
Madagascar;;$1,500;;;
Liberia;;$1,400;;;
Chad;;$1,400;;;
Mozambique;;$1,200;;;
Niger;;$1,200;;;
Congo, Democratic Republic of the;;$1,100;;;
Somalia;;$1,100;;;
Tokelau;;$1,000;;;
Central African Republic;;$800;;;
Burundi;;$700;;;
