name;;value;;;
Greenland;;57,777;;;
Saint Kitts and Nevis;;54,817;;;
Faroe Islands;;52,600;;;
Northern Mariana Islands;;51,295;;;
Sint Maarten;;45,677;;;
American Samoa;;44,620;;;
Liechtenstein;;39,993;;;
British Virgin Islands;;39,369;;;
San Marino;;34,892;;;
Saint Martin;;32,897;;;
Monaco;;31,597;;;
Gibraltar;;29,629;;;
Palau;;21,779;;;
Anguilla;;19,079;;;
Wallis and Futuna;;15,929;;;
Tuvalu;;11,639;;;
Nauru;;9,852;;;
Cook Islands;;7,939;;;
Saint Helena, Ascension, and Tristan da Cunha;;7,935;;;
Saint Barthelemy;;7,093;;;
Montserrat;;5,440;;;
Saint Pierre and Miquelon;;5,195;;;
Falkland Islands (Islas Malvinas);;3,662;;;
Svalbard;;2,926;;;
Christmas Island;;2,205;;;
Niue;;2,000;;;
Norfolk Island;;1,748;;;
Tokelau;;1,647;;;
Paracel Islands;;1,440;;;
Holy See (Vatican City);;1,000;;;
Cocos (Keeling) Islands;;596;;;
Pitcairn Islands;;50;;;
