name;;value;;;
Turks and Caicos Islands;;37,008;;;
Monaco;;31,820;;;
Gibraltar;;31,152;;;
San Marino;;25,500;;;
British Virgin Islands;;24,087;;;
Saint Martin;;19,284;;;
American Samoa;;18,135;;;
Marshall Islands;;16,254;;;
Anguilla;;13,056;;;
Northern Mariana Islands;;12,299;;;
Cook Islands;;11,382;;;
Nauru;;10,920;;;
Tuvalu;;7,920;;;
Saint Barthelemy;;7,077;;;
Palau;;6,696;;;
Wallis and Futuna;;5,496;;;
Saint Pierre and Miquelon;;5,099;;;
Antarctica;;4,400;;;
Falkland Islands (Islas Malvinas);;3,762;;;
Montserrat;;2,473;;;
Saint Helena, Ascension, and Tristan da Cunha;;2,287;;;
Niue;;1,512;;;
Christmas Island;;1,139;;;
Norfolk Island;;806;;;
Tokelau;;800;;;
Holy See (Vatican City);;383;;;
Cocos (Keeling) Islands;;80;;;
Pitcairn Islands;;37;;;
