name;;value;;;
Virgin Islands;;-0.49;;;
Ukraine;;-0.52;;;
Serbia;;-0.63;;;
Bulgaria;;-0.66;;;
Micronesia, Federated States of;;-0.7;;;
Estonia;;-0.74;;;
Romania;;-1.01;;;
Lithuania;;-1.04;;;
Latvia;;-1.13;;;
Moldova;;-1.14;;;
Saint Pierre and Miquelon;;-1.19;;;
Puerto Rico;;-1.29;;;
American Samoa;;-1.74;;;
Cook Islands;;-2.31;;;
