Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
India,4.015,0.765,0.588,0.498,0.2,0.085,346,3.09,16.53,9.65,"$6,600",0.7,"644,000,000",67.69,28.7,0.12,3.9,"1,399,179,585","65,554","6,371,847",12.02,28.3
Liberia,3.975,0.922,0.443,0.37,0.233,0.033,29,3.12,36.26,6.46,"$1,400",2.71,"1,768,000",65.8,18.0,-2.67,9.9,"5,506,280",429,"10,600",16.9,3.2
Comoros,3.973,0.757,0.505,0.142,0.275,0.078,4,0.18,22.06,6.49,"$3,200",1.34,"221,400",67.5,20.9,-2.22,7.8,"888,378",,880,25.3,21.7
Madagascar,3.933,0.916,0.555,0.148,0.169,0.041,83,0.89,28.14,5.92,"$1,500",2.22,"5,800,000",68.47,20.3,0.0,5.3,"28,812,195",836,"31,640",9.52,4.8
Lesotho,3.802,1.169,0.168,0.359,0.107,0.093,24,3.56,23.01,10.9,"$2,300",0.76,"1,104,000",59.87,24.7,-4.52,16.6,"2,210,646",,"5,940",18.47,37.4
Burundi,3.775,0.447,0.38,0.22,0.176,0.18,7,4.07,34.87,5.85,$700,3.59,"754,000",67.77,17.7,6.84,5.4,"13,162,952",,"12,322",15.8,3.4
Zimbabwe,3.663,1.114,0.433,0.361,0.151,0.089,196,3.11,32.77,8.51,"$2,100",1.95,"5,600,000",63.79,20.5,-4.74,15.5,"15,418,674","3,427","97,267",7.21,7.3
Haiti,3.597,0.688,0.449,0.026,0.419,0.11,14,2.85,20.81,7.17,"$2,900",1.18,"4,290,000",66.3,24.1,-1.86,22.7,"11,470,261",,"4,102",18.2,35.7
Botswana,3.488,1.145,0.538,0.455,0.025,0.1,74,5.98,19.95,8.98,"$14,800",1.37,"1,924,000",66.04,25.7,2.77,18.9,"2,417,596",888,"31,747",22.32,41.2
Syria,3.462,0.378,0.44,0.013,0.331,0.141,90,0.13,22.19,4.07,"$2,900",6.39,"8,492,468",74.55,23.5,45.78,27.8,"22,933,531","2,052","69,873",4.2,26.2
Malawi,3.41,0.56,0.495,0.443,0.218,0.089,32,2.04,27.29,4.51,"$1,500",2.28,"4,800,000",72.71,16.8,0.0,5.8,"21,279,597",767,"15,452",11.72,9.9
Yemen,3.38,1.163,0.463,0.143,0.108,0.077,57,0.02,24.05,5.54,"$2,500",1.83,"8,229,624",67.83,19.8,-0.19,17.1,"31,565,602",,"71,300",9.0,25.5
Rwanda,3.334,0.711,0.614,0.555,0.217,0.411,7,6.35,25.7,5.77,"$2,200",1.68,"3,900,000",66.21,19.7,-3.16,5.8,"13,400,541",,"4,700",15.06,2.9
Tanzania,3.231,0.885,0.499,0.417,0.276,0.147,166,7.81,32.9,5.02,"$2,600",2.75,"20,480,000",70.48,18.2,-0.39,8.4,"65,642,682","4,097","145,203",11.7,4.6
Afghanistan,3.203,0.517,0.361,0.0,0.158,0.025,46,0.01,34.79,12.08,"$1,500",2.26,"7,020,000",54.05,19.5,-0.1,5.5,"39,232,003",,"34,903",9.9,20.2
Central African Republic,3.083,0.0,0.105,0.225,0.235,0.035,39,0.94,32.37,11.51,$800,1.77,"605,000",55.96,20.0,-3.16,7.5,"5,552,228",,"24,000",8.71,11.8
South Sudan,2.853,0.575,0.295,0.01,0.202,0.091,89,,37.07,9.22,"$1,600",4.78,"869,000",59.71,18.6,19.98,6.6,"12,118,379",248,"90,200",8.5,21.0
