Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
Brazil,6.3,1.439,0.802,0.39,0.099,0.086,"4,093",6.12,13.44,6.9,"$14,600",0.64,"170,100,000",76.1,33.2,-0.19,22.1,"218,689,757","29,849.9","2,000,000",12.96,31.9
Uruguay,6.293,1.465,0.891,0.523,0.127,0.15,133,5.42,12.65,9.12,"$22,800",0.27,"3,060,000",78.66,35.5,-0.88,27.9,"3,416,264","1,673","77,732",18.55,32.9
Singapore,6.262,1.463,1.141,0.556,0.271,0.453,9,1.81,8.94,4.15,"$106,000",0.9,"5,369,000",86.51,35.6,4.18,6.1,"5,975,383",,"3,500",12.89,9.1
El Salvador,6.253,1.242,0.789,0.43,0.093,0.074,68,2.94,17.49,5.92,"$9,100",0.46,"3,969,000",75.63,27.7,-7.01,24.6,"6,602,370",12.5,"9,012",18.66,13.7
Italy,6.223,1.488,1.039,0.231,0.158,0.03,129,7.65,7.0,11.27,"$41,900",-0.11,"44,250,000",82.79,46.5,3.2,19.9,"61,021,855","18,475","487,700",24.77,30.9
Bahrain,6.199,1.368,0.871,0.536,0.255,0.11,4,1.18,12.3,2.83,"$49,400",0.85,"1,500,000",80.13,32.9,-0.99,29.8,"1,553,886",,"4,122",16.6,9.9
Slovakia,6.198,1.504,0.881,0.334,0.121,0.014,35,10.3,8.78,10.18,"$31,900",-0.12,"4,806,000",78.55,41.8,0.2,20.5,"5,425,319","3,627","56,926",18.5,21.5
Trinidad & Tobago,6.192,1.477,0.713,0.489,0.185,0.016,,,,,,,,,,,,,,,,
Poland,6.182,1.438,0.884,0.483,0.117,0.05,126,10.96,8.31,10.75,"$34,900",-0.28,"32,300,000",79.0,41.9,-0.34,23.1,"37,991,766","19,461","420,000",17.48,13.4
Uzbekistan,6.174,1.529,0.756,0.631,0.322,0.24,53,2.45,15.18,5.43,"$7,700",0.81,"26,180,000",75.55,30.1,-1.7,16.6,"31,360,836","4,642","86,496",14.87,16.0
Lithuania,6.149,1.515,0.818,0.291,0.043,0.042,61,11.93,9.09,15.17,"$39,300",-1.04,"2,436,000",75.95,44.5,-4.34,26.3,"2,655,755","1,911","84,166",19.88,19.0
Colombia,6.125,1.41,0.841,0.47,0.099,0.034,836,4.09,15.06,7.84,"$14,600",0.54,"37,960,000",74.89,31.2,-1.85,22.3,"49,336,454","2,141","205,379",14.23,26.4
Slovenia,6.118,1.523,0.953,0.564,0.144,0.057,16,11.05,8.12,10.46,"$40,000",-0.08,"1,869,000",82.02,44.9,1.54,20.2,"2,099,790","1,207","38,985",16.92,13.9
Nicaragua,6.105,1.325,0.835,0.435,0.2,0.127,147,3.69,16.3,5.19,"$5,600",0.91,"3,933,000",75.05,27.3,-2.04,23.7,"6,359,689",,"23,897",17.2,11.6
Kosovo,6.1,1.232,0.758,0.489,0.262,0.006,6,,14.57,7.65,"$11,900",0.62,"1,756,300",72.15,30.5,-0.71,,"1,964,327",437,"2,012",29.0,48.8
Argentina,6.086,1.432,0.881,0.471,0.066,0.05,916,7.95,15.38,7.28,"$21,500",0.8,"39,150,000",78.55,32.4,-0.08,28.3,"46,621,847","17,866","281,290",10.87,29.9
Romania,6.07,1.232,0.825,0.462,0.083,0.005,45,10.96,8.63,14.92,"$30,800",-1.01,"15,960,000",76.31,42.5,-3.86,22.5,"18,326,327","10,628","84,185",14.18,20.6
Cyprus,6.046,1.223,1.042,0.406,0.19,0.041,15,9.59,10.37,6.99,"$41,700",1.0,"809,900",79.96,37.9,6.65,21.8,"1,308,120",,"12,901",22.42,11.8
Ecuador,6.028,1.312,0.868,0.498,0.126,0.087,432,3.05,16.19,5.18,"$10,700",1.1,"13,680,000",78.25,28.8,0.0,19.9,"17,483,326",965,"43,950",12.54,14.2
Kuwait,6.021,1.319,0.808,0.493,0.142,0.097,7,0.0,17.65,2.27,"$43,900",1.13,"4,300,000",79.35,29.7,-4.07,37.9,"3,103,580",,"5,749",41.8,25.5
Thailand,6.008,1.409,0.828,0.557,0.359,0.028,101,6.86,10.04,7.86,"$17,100",0.2,"61,200,000",77.91,39.0,-0.22,10.0,"69,794,997","4,127","180,053",14.48,7.0
Latvia,5.94,1.465,0.812,0.264,0.075,0.064,42,12.9,8.5,14.69,"$32,100",-1.13,"1,729,000",76.16,44.4,-5.06,23.6,"1,821,750","2,216","70,244",21.77,15.5
South Korea,5.895,1.219,1.036,0.159,0.175,0.056,,,,,,,,,,,,,,,,
Estonia,5.893,1.528,0.874,0.495,0.103,0.161,18,11.65,8.48,13.13,"$38,700",-0.74,"1,183,000",78.12,43.7,-2.73,21.2,"1,202,762","1,441","58,412",20.69,17.1
Jamaica,5.89,1.478,0.831,0.49,0.107,0.028,28,3.46,15.77,7.44,"$9,600",0.09,"2,296,000",76.01,29.4,-7.42,24.7,"2,820,982",,"22,121",25.71,26.1
Mauritius,5.888,1.402,0.798,0.498,0.215,0.06,5,3.39,9.82,8.95,"$21,000",0.09,"884,000",75.13,36.3,0.0,10.8,"1,309,448",,"2,428",20.72,25.3
Japan,5.886,1.419,1.088,0.445,0.069,0.14,175,8.36,6.9,11.74,"$40,800",-0.41,"99,600,000",85.0,48.6,0.74,4.3,"123,719,238","27,311","1,218,772",35.2,4.4
Honduras,5.86,1.236,0.828,0.507,0.246,0.078,103,2.73,17.64,4.69,"$5,600",1.16,"4,800,000",75.43,24.4,-1.32,21.4,"9,571,352",699,"14,742",14.77,15.5
Kazakhstan,5.809,1.508,0.729,0.41,0.146,0.096,96,3.73,14.92,8.05,"$26,100",0.73,"17,290,000",72.8,31.6,0.39,21.0,"19,543,464","16,636","96,167",8.32,3.7
Bolivia,5.779,1.209,0.706,0.511,0.137,0.064,855,2.98,18.08,4.33,"$8,100",1.06,"7,920,000",72.5,25.3,-0.96,20.2,"12,186,079","3,960","90,568",39.9,17.4
Hungary,5.758,1.41,0.828,0.199,0.081,0.02,41,10.79,8.58,12.89,"$33,600",-0.31,"8,633,000",77.44,43.6,1.21,26.4,"9,670,009","7,687","203,601",22.87,13.5
Paraguay,5.743,1.475,0.777,0.514,0.184,0.08,799,5.47,16.15,4.9,"$13,700",1.12,"5,159,000",78.61,29.7,-0.07,20.3,"7,439,863",30,"78,811",9.51,16.3
Northern Cyprus,5.718,1.252,1.042,0.417,0.191,0.162,,,,,,,,,,,,,,,,
Peru,5.697,1.274,0.854,0.455,0.083,0.027,191,5.74,16.96,11.04,"$12,500",0.5,"24,140,000",68.94,29.1,-0.89,19.7,"32,440,172","1,854.4","18,699",13.2,11.2
Portugal,5.693,1.431,0.999,0.508,0.047,0.025,64,10.37,7.99,10.9,"$33,700",-0.17,"8,200,000",81.71,44.6,1.2,20.8,"10,223,150","2,526","82,900",22.04,23.1
Pakistan,5.653,0.886,0.535,0.313,0.22,0.098,151,0.04,26.01,5.94,"$5,200",1.91,"48,300,000",69.96,22.0,-1.01,8.6,"247,653,551","11,881","264,175",15.4,9.4
Russia,5.648,1.452,0.726,0.334,0.082,0.031,"1,218",7.29,9.22,13.27,"$28,000",-0.24,"132,000,000",72.72,40.3,1.7,23.1,"141,698,923","85,494","1,283,387",10.83,16.9
Philippines,5.631,1.293,0.657,0.558,0.117,0.107,247,4.85,22.17,6.32,"$8,100",1.58,"58,300,000",70.48,24.1,-0.04,6.4,"116,434,200",77,"216,387",13.95,7.3
Serbia,5.603,1.383,0.854,0.282,0.137,0.039,26,7.45,8.87,15.12,"$19,800",-0.63,"5,589,000",75.08,43.4,0.0,21.5,"6,693,375","3,333","44,248",23.49,30.4
Moldova,5.529,1.328,0.739,0.245,0.181,0.0,7,7.45,9.94,12.51,"$14,000",-1.14,"1,891,000",72.72,37.7,-8.8,18.9,"3,250,532","1,171","9,352",17.41,8.6
Libya,5.525,1.303,0.673,0.416,0.133,0.152,146,0.01,20.88,3.45,"$22,000",1.54,"3,095,400",77.42,25.8,-2.05,32.5,"7,252,573",,"37,000",51.6,50.5
Montenegro,5.523,1.361,0.871,0.197,0.142,0.08,5,9.91,11.04,10.3,"$20,600",-0.43,"516,600",77.99,39.6,-4.99,23.3,"602,445",250,"7,762",37.2,31.6
Tajikistan,5.467,1.098,0.718,0.389,0.23,0.144,24,0.85,20.28,5.67,"$3,900",1.36,"3,009,054",69.66,25.3,-1.02,14.2,"9,245,937",680,"30,000",31.8,17.4
Croatia,5.432,1.266,0.914,0.296,0.119,0.022,69,9.64,8.6,12.98,"$31,600",-0.47,"3,321,000",77.47,43.9,-0.26,24.4,"4,169,239","2,617","26,958",20.6,23.6
Hong Kong,5.43,1.277,1.122,0.44,0.258,0.287,2,,7.85,8.03,"$55,900",0.15,"6,975,000",83.8,45.6,1.65,,"7,288,167",,"2,193",23.2,15.0
Dominican Republic,5.425,1.401,0.779,0.497,0.113,0.101,36,5.56,17.8,6.31,"$18,600",0.88,"9,350,000",72.84,27.9,-2.66,27.6,"10,790,744",496,"19,705",12.39,20.6
Bosnia and Herzegovina,5.386,1.212,0.845,0.212,0.263,0.006,24,5.46,8.31,10.26,"$15,700",-0.23,"2,508,000",78.22,43.3,-0.38,17.9,"3,807,764",965,"22,926",19.01,32.9
Turkey (Turkiye),5.373,1.36,0.808,0.195,0.083,0.106,98,1.18,14.04,6.09,"$31,500",0.64,"68,850,000",76.47,32.2,-1.53,32.1,"83,593,483","11,497","67,333",17.64,24.3
Malaysia,5.339,1.171,0.828,0.508,0.26,0.024,114,0.64,14.39,5.72,"$26,300",1.01,"32,980,000",76.38,29.2,1.46,15.6,"34,219,975","1,851","144,403",10.89,15.6
